Date,Air_Temp_C,Apparent_Temp_C,0-10%_Heliophile,0-10%_Photophobic,0-10%_Sun-chaser,0-10%_Shade-chaser,10-20%_Heliophile,10-20%_Photophobic,10-20%_Sun-chaser,10-20%_Shade-chaser,20-30%_Heliophile,20-30%_Photophobic,20-30%_Sun-chaser,20-30%_Shade-chaser,30-100%_Heliophile,30-100%_Photophobic,30-100%_Sun-chaser,30-100%_Shade-chaser,0-10%_Sun-preferring,0-10%_Shade-preferring,10-20%_Sun-preferring,10-20%_Shade-preferring,20-30%_Sun-preferring,20-30%_Shade-preferring,30-100%_Sun-preferring,30-100%_Shade-preferring,x_fit_AirTemp,fit_0-10%_Heliophile,fit_0-10%_Photophobic,fit_0-10%_Sun-chaser,fit_0-10%_Shade-chaser,fit_10-20%_Heliophile,fit_10-20%_Photophobic,fit_10-20%_Sun-chaser,fit_10-20%_Shade-chaser,fit_20-30%_Heliophile,fit_20-30%_Photophobic,fit_20-30%_Sun-chaser,fit_20-30%_Shade-chaser,fit_30-100%_Heliophile,fit_30-100%_Photophobic,fit_30-100%_Sun-chaser,fit_30-100%_Shade-chaser,fit_0-10%_Sun-preferring,fit_0-10%_Shade-preferring,fit_10-20%_Sun-preferring,fit_10-20%_Shade-preferring,fit_20-30%_Sun-preferring,fit_20-30%_Shade-preferring,fit_30-100%_Sun-preferring,fit_30-100%_Shade-preferring
2022/6/4,23,29.3000,,,,,80.0000,2.0000,6.0000,12.0000,58.0247,1.2346,34.5679,6.1728,33.3333,18.1818,30.3030,18.1818,,,86.0000,14.0000,92.5926,7.4074,63.6364,36.3636,24.0000,82.1759,1.6388,10.1294,6.0559,73.6478,-1.4752,22.9001,4.9273,57.7271,-4.8770,30.9442,16.2057,44.0850,-0.3455,33.0185,23.2420,92.3053,7.6947,96.5479,3.4521,88.6713,11.3287,77.1034,22.8966
2022/6/13,24,28.4000,,,,,40.0000,7.5000,40.0000,12.5000,37.1429,13.3333,23.8095,25.7143,31.2500,18.7500,31.2500,18.7500,,,80.0000,20.0000,60.9524,39.0476,62.5000,37.5000,48.0000,89.7087,4.5062,1.8754,3.9098,57.8535,18.3607,8.0567,15.7290,36.1391,34.8368,11.6620,17.3620,18.4270,46.3844,16.6256,18.5631,91.5841,8.4159,65.9102,34.0898,47.8011,52.1989,35.0525,64.9475
2022/6/19,27,32.5000,,,,,82.0225,0.0000,14.6067,3.3708,59.8540,1.4599,28.4672,10.2190,32.7869,8.1967,39.3443,19.6721,,,96.6292,3.3708,88.3212,11.6788,72.1311,27.8689,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/24,31,35.9000,,,,,51.1111,8.8889,24.4444,15.5556,68.0851,10.6383,6.3830,14.8936,40.9836,16.3934,14.7541,27.8689,,,75.5556,24.4444,74.4681,25.5319,55.7377,44.2623,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/25,33,37.6000,87.8788,0.0000,3.0303,9.0909,74.2424,0.7576,23.4848,1.5152,45.9259,5.9259,33.3333,14.8148,,,,,90.9091,9.0909,97.7273,2.2727,79.2593,20.7407,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/29,34,40.2000,,,,,52.7778,8.3333,27.7778,11.1111,48.7179,6.4103,24.3590,20.5128,29.4118,27.4510,25.4902,17.6471,,,80.5556,19.4444,73.0769,26.9231,54.9020,45.0980,,,,,,,,,,,,,,,,,,,,,,,,,
2022/6/30,35,40.1000,,,,,41.1765,29.4118,5.8824,23.5294,40.9836,4.9180,9.8361,44.2623,22.2222,30.5556,19.4444,27.7778,,,47.0588,52.9412,50.8197,49.1803,41.6667,58.3333,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/2,34,40.3000,,,,,63.6364,4.5455,19.6970,12.1212,46.2810,3.3058,36.3636,14.0496,32.2034,11.8644,34.7458,21.1864,,,83.3333,16.6667,82.6446,17.3554,66.9492,33.0508,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/18,29,37.0000,,,,,82.2034,2.5424,5.9322,9.3220,58.8235,2.9412,25.0000,13.2353,35.8491,13.2075,30.1887,20.7547,,,88.1356,11.8644,83.8235,16.1765,66.0377,33.9623,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/23,32,39.4000,,,,,67.5676,5.4054,14.8649,12.1622,25.3333,9.3333,38.6667,26.6667,22.2222,33.3333,22.2222,22.2222,,,82.4324,17.5676,64.0000,36.0000,44.4444,55.5556,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/24,31,36.9000,,,,,70.7692,4.6154,13.8462,10.7692,48.2353,12.9412,18.8235,20.0000,45.7831,15.6627,19.2771,19.2771,,,84.6154,15.3846,67.0588,32.9412,65.0602,34.9398,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/30,33,40.6000,,,,,69.0909,12.7273,9.0909,9.0909,42.0455,37.5000,6.8182,13.6364,28.6957,37.3913,13.9130,20.0000,,,78.1818,21.8182,48.8636,51.1364,42.6087,57.3913,,,,,,,,,,,,,,,,,,,,,,,,,
2022/8/27,33,39.7000,,,,,56.8182,19.6970,7.5758,15.9091,38.7755,43.5374,8.1633,9.5238,8.8235,55.8824,26.4706,8.8235,,,64.3939,35.6061,46.9388,53.0612,35.2941,64.7059,,,,,,,,,,,,,,,,,,,,,,,,,
2023/6/4,25,27.7000,,,,,88.9764,0.0000,8.6614,2.3622,75.0000,0.7143,20.7143,3.5714,43.9153,7.9365,29.6296,18.5185,,,97.6378,2.3622,95.7143,4.2857,73.5450,26.4550,,,,,,,,,,,,,,,,,,,,,,,,,
2023/6/7,27,31.5000,,,,,65.0794,0.0000,28.5714,6.3492,46.4286,7.1429,23.8095,22.6190,39.1026,16.0256,23.0769,21.7949,,,93.6508,6.3492,70.2381,29.7619,62.1795,37.8205,,,,,,,,,,,,,,,,,,,,,,,,,
2023/6/13,26,36.7000,56.5217,13.0435,21.7391,8.6957,47.4576,13.5593,23.7288,15.2542,33.6957,14.1304,23.9130,28.2609,17.2414,10.3448,10.3448,62.0690,78.2609,21.7391,71.1864,28.8136,57.6087,42.3913,27.5862,72.4138,,,,,,,,,,,,,,,,,,,,,,,,,
2023/6/28,30,39.4000,95.4545,4.5455,0.0000,0.0000,63.3333,3.3333,26.6667,6.6667,54.2553,1.0638,28.7234,15.9574,40.0000,10.0000,30.0000,20.0000,95.4545,4.5455,90.0000,10.0000,82.9787,17.0213,70.0000,30.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/2,31,39.3000,96.9697,0.0000,1.5152,1.5152,86.8056,0.0000,9.7222,3.4722,56.8493,4.7945,27.3973,10.9589,37.9630,8.3333,26.8519,26.8519,98.4848,1.5152,96.5278,3.4722,84.2466,15.7534,64.8148,35.1852,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/16,35,43.2000,100.0000,0.0000,0.0000,0.0000,87.8571,0.7143,10.7143,0.7143,50.0000,10.5882,27.0588,12.3529,32.9670,12.0879,36.2637,18.6813,100.0000,0.0000,98.5714,1.4286,77.0588,22.9412,69.2308,30.7692,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/23,33,38.5000,95.2381,2.3810,2.3810,0.0000,73.7968,6.4171,10.1604,9.6257,48.2456,10.5263,30.7018,10.5263,29.5203,17.7122,35.4244,17.3432,97.6190,2.3810,83.9572,16.0428,78.9474,21.0526,64.9446,35.0554,,,,,,,,,,,,,,,,,,,,,,,,,
2023/7/31,35,42.6000,,,,,46.4286,26.1905,8.3333,19.0476,39.5349,30.2326,8.1395,22.0930,42.8571,40.0000,0.0000,17.1429,,,54.7619,45.2381,47.6744,52.3256,42.8571,57.1429,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/2,34,41.1000,74.6269,5.9701,2.9851,16.4179,52.7778,23.6111,4.1667,19.4444,46.3768,34.7826,5.7971,13.0435,34.3137,32.3529,10.7843,22.5490,77.6119,22.3881,56.9444,43.0556,52.1739,47.8261,45.0980,54.9020,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/4,35,43.9000,74.4186,6.9767,11.6279,6.9767,45.4545,16.8831,10.3896,27.2727,29.6703,39.5604,14.2857,16.4835,30.0000,32.5000,15.0000,22.5000,86.0465,13.9535,55.8442,44.1558,43.9560,56.0440,45.0000,55.0000,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/5,36,42.7000,85.7143,4.7619,4.7619,4.7619,56.4103,10.2564,14.1026,19.2308,45.7364,29.4574,6.9767,17.8295,27.4194,37.0968,17.7419,17.7419,90.4762,9.5238,70.5128,29.4872,52.7132,47.2868,45.1613,54.8387,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/11,31,35.8000,92.5000,0.0000,7.5000,0.0000,79.0123,11.1111,4.9383,4.9383,45.5357,36.6071,7.1429,10.7143,26.5306,36.7347,20.4082,16.3265,100.0000,0.0000,83.9506,16.0494,52.6786,47.3214,46.9388,53.0612,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/18,33,42.4000,88.3721,2.3256,2.3256,6.9767,61.0619,17.6991,10.6195,10.6195,18.4874,35.2941,31.0924,15.1261,9.0909,54.5455,27.2727,9.0909,90.6977,9.3023,71.6814,28.3186,49.5798,50.4202,36.3636,63.6364,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/20,33,45.6000,,,,,66.9118,10.2941,9.5588,13.2353,37.3134,21.6418,23.1343,17.9104,6.4516,25.8065,29.0323,38.7097,,,76.4706,23.5294,60.4478,39.5522,35.4839,64.5161,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/25,32,38.1000,78.6885,4.9180,4.9180,11.4754,49.5798,20.1681,12.6050,17.6471,61.2245,11.2245,18.3673,9.1837,,,,,83.6066,16.3934,62.1849,37.8151,79.5918,20.4082,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/30,33,38.4000,85.4167,4.1667,2.0833,8.3333,62.8319,15.9292,8.8496,12.3894,40.9836,27.8689,14.7541,16.3934,25.7143,42.8571,17.1429,14.2857,87.5000,12.5000,71.6814,28.3186,55.7377,44.2623,42.8571,57.1429,,,,,,,,,,,,,,,,,,,,,,,,,
2023/8/31,32,36.8000,84.8485,3.0303,6.0606,6.0606,72.5000,8.1250,10.0000,9.3750,39.4737,26.3158,15.7895,18.4211,41.3333,24.0000,24.0000,10.6667,90.9091,9.0909,82.5000,17.5000,55.2632,44.7368,65.3333,34.6667,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/7,27,28.7000,90.3846,1.9231,5.7692,1.9231,65.4762,5.9524,19.0476,9.5238,50.0000,9.2105,27.6316,13.1579,33.3333,7.2464,26.0870,33.3333,96.1538,3.8462,84.5238,15.4762,77.6316,22.3684,59.4203,40.5797,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/8,27,32.5000,75.0000,0.0000,12.5000,12.5000,72.3404,2.1277,17.7305,7.8014,38.0645,6.4516,30.9677,24.5161,29.5455,15.9091,27.2727,27.2727,87.5000,12.5000,90.0709,9.9291,69.0323,30.9677,56.8182,43.1818,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/12,28,32.4000,87.0968,6.4516,4.8387,1.6129,50.4950,11.8812,24.7525,12.8713,38.2353,20.5882,14.7059,26.4706,,,,,91.9355,8.0645,75.2475,24.7525,52.9412,47.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/15,29,33.8000,,,,,79.7980,0.0000,11.1111,9.0909,56.7568,5.4054,26.3514,11.4865,38.1818,18.1818,20.0000,23.6364,,,90.9091,9.0909,83.1081,16.8919,58.1818,41.8182,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/16,27,31.2000,,,,,86.7647,1.4706,11.7647,0.0000,59.4017,2.1368,27.7778,10.6838,39.6694,11.5702,29.7521,19.0083,,,98.5294,1.4706,87.1795,12.8205,69.4215,30.5785,,,,,,,,,,,,,,,,,,,,,,,,,
2024/6/27,26,31.1000,80.7692,3.8462,7.6923,7.6923,58.4270,6.7416,26.9663,7.8652,30.7692,5.7692,38.4615,25.0000,,,,,88.4615,11.5385,85.3933,14.6067,69.2308,30.7692,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/3,30,35.9000,100.0000,0.0000,0.0000,0.0000,62.2222,0.0000,21.1111,16.6667,41.5730,5.6180,25.8427,26.9663,41.3793,0.0000,44.8276,13.7931,100.0000,0.0000,83.3333,16.6667,67.4157,32.5843,86.2069,13.7931,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/4,34,40.8000,78.2609,4.3478,8.6957,8.6957,69.6429,3.5714,19.6429,7.1429,43.3333,15.0000,26.6667,15.0000,19.5122,14.6341,17.0732,48.7805,86.9565,13.0435,89.2857,10.7143,70.0000,30.0000,36.5854,63.4146,,,,,,,,,,,,,,,,,,,,,,,,,
2024/7/7,33,40.5000,100.0000,0.0000,0.0000,0.0000,83.9572,1.0695,9.0909,5.8824,64.2857,2.1429,24.2857,9.2857,27.7778,11.1111,50.0000,11.1111,100.0000,0.0000,93.0481,6.9519,88.5714,11.4286,77.7778,22.2222,,,,,,,,,,,,,,,,,,,,,,,,,
