person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion,transition_0,transition_1,transition_2,category
0,"[(124, 14010648.18230347, 7980314.41247011, False), (126, 14010648.13269192, 7980314.46755895, False), (128, 14010648.18634385, 7980314.01612528, False), (130, 14010648.20219384, 7980313.58947029, False), (132, 14010648.21786238, 7980313.07231572, False), (134, 14010648.26456963, 7980312.43319201, False), (136, 14010648.29196029, 7980311.87810051, False), (138, 14010648.32176671, 7980311.24147216, False), (140, 14010648.30817554, 7980310.69632326, False), (142, 14010648.33575595, 7980310.04215309, False), (144, 14010648.35309293, 7980309.38074602, False), (146, 14010648.29651572, 7980308.8172169, False), (148, 14010648.27808501, 7980308.1209809, False), (150, 14010648.2641662, 7980307.36901142, False), (152, 14010648.20954832, 7980306.78446288, False), (154, 14010648.21556643, 7980306.07111784, False), (156, 14010648.20586436, 7980305.41373779, False), (158, 14010648.14261601, 7980304.89759463, False), (160, 14010648.11622762, 7980304.22122398, False), (162, 14010648.07078169, 7980303.67659074, False), (164, 14010648.027464, 7980303.09908723, False), (166, 14010648.02851124, 7980302.47301249, False), (168, 14010648.02744977, 7980301.88598308, False), (170, 14010648.04116013, 7980301.32474968, False), (172, 14010648.07046207, 7980300.76880921, False), (174, 14010648.12833415, 7980300.28527769, False), (176, 14010648.22459695, 7980299.72205655, False), (178, 14010648.29300978, 7980299.24689317, False), (180, 14010648.33468427, 7980298.79279399, False), (182, 14010648.34135625, 7980298.23073941, False), (184, 14010648.33612301, 7980297.67565732, False), (186, 14010648.32689761, 7980297.0349571, False), (188, 14010648.30049973, 7980296.47754749, False), (190, 14010648.26729943, 7980295.95489129, False), (192, 14010648.2834544, 7980295.24043007, False), (194, 14010648.26325794, 7980294.68767047, False), (196, 14010648.21998873, 7980294.11615702, False), (198, 14010648.19769236, 7980293.36502144, False), (200, 14010648.15194448, 7980292.55365567, False), (202, 14010648.08689441, 7980291.90479044, False), (204, 14010648.03254729, 7980291.14049221, False), (206, 14010647.9585231, 7980290.70296678, False), (208, 14010647.9173612, 7980290.13987437, False), (210, 14010647.89227056, 7980289.48002587, False), (212, 14010647.85249444, 7980288.97036808, False), (214, 14010647.83279594, 7980288.1998349, False), (216, 14010647.8891479, 7980287.64286488, False), (218, 14010647.93187457, 7980286.98100733, False), (220, 14010647.94729872, 7980286.21962087, False), (222, 14010647.92449009, 7980284.71836056, False), (224, 14010647.88522351, 7980282.88935989, False), (226, 14010647.84184914, 7980280.97203115, False), (228, 14010647.79730905, 7980279.91202143, False), (230, 14010647.73573266, 7980279.78178391, False), (232, 14010647.61117321, 7980280.27697561, False), (234, 14010647.48273546, 7980280.64848174, False), (236, 14010647.39974378, 7980280.23931697, False), (238, 14010647.34327751, 7980279.9703835, False), (240, 14010647.28194204, 7980279.41394867, False), (242, 14010647.31430074, 7980276.88299134, False), (244, 14010647.38825299, 7980273.47873577, False)]",120,"[(False, 61)]",0.0943989078688524,Heliophile,,,Heliophile
3,"[(6, 14010646.82907274, 7980300.6369545, False), (8, 14010646.78905029, 7980301.22787187, False), (10, 14010646.87861853, 7980301.80501591, False), (12, 14010646.99037016, 7980302.25725888, False), (14, 14010647.04099313, 7980302.71182397, False), (16, 14010647.06924057, 7980303.0596551, False), (18, 14010647.09347353, 7980303.41066162, False), (20, 14010647.11311971, 7980303.8043575, False), (22, 14010647.06124017, 7980304.1413747, False), (24, 14010646.99247906, 7980304.58750096, False), (26, 14010646.93238731, 7980304.99893758, False), (28, 14010646.87328491, 7980305.45107629, False), (30, 14010646.85451856, 7980305.82859619, False), (32, 14010646.83892896, 7980306.29464042, False), (34, 14010646.8186155, 7980306.75017954, False), (36, 14010646.80271364, 7980307.1233177, False), (38, 14010646.82351156, 7980307.51373118, False), (40, 14010646.84084673, 7980307.92187889, False), (42, 14010646.79857056, 7980308.37136198, False), (44, 14010646.73220065, 7980308.68223094, False), (46, 14010646.65912796, 7980309.11659921, False), (48, 14010646.60513346, 7980309.53198311, False), (50, 14010646.54780055, 7980309.98539191, False), (52, 14010646.50680187, 7980310.42771606, False), (54, 14010646.48364162, 7980310.83214389, True), (56, 14010646.44749431, 7980311.25649187, True), (58, 14010646.41749001, 7980311.58318081, True), (60, 14010646.40456368, 7980312.00710337, False), (62, 14010646.42767571, 7980312.35285746, False), (64, 14010646.40207185, 7980312.82282855, False), (66, 14010646.38977047, 7980313.20383961, False), (68, 14010646.38591216, 7980313.68735445, False), (70, 14010646.39725876, 7980314.08402671, False), (72, 14010646.37146424, 7980314.55161272, False), (74, 14010646.36189822, 7980314.99846511, False)]",68,"[(False, 24), (True, 3), (False, 8)]",0.08790018,,,Heliophile,Heliophile
5,"[(54, 14010646.73052077, 7980298.94740968, False), (56, 14010646.75498458, 7980299.24590123, False), (58, 14010646.84958489, 7980299.62500404, False), (60, 14010646.90703059, 7980299.59714465, False), (62, 14010646.80889044, 7980300.63950015, False), (64, 14010646.74555466, 7980301.46711588, False), (66, 14010646.74256085, 7980302.192699, False), (68, 14010646.63014937, 7980302.98525501, False), (70, 14010646.53341265, 7980303.65236732, False), (72, 14010646.4941071, 7980304.32025584, False), (74, 14010646.42778986, 7980305.15590081, False), (76, 14010646.32136203, 7980306.14119433, False), (78, 14010646.23610568, 7980307.14993963, False), (80, 14010646.16998505, 7980308.15597914, True), (82, 14010646.10184188, 7980308.99681444, True), (84, 14010646.08427315, 7980309.60470726, True), (86, 14010646.09581737, 7980310.17450218, True), (88, 14010646.10496, 7980310.69132336, True), (90, 14010646.12882114, 7980310.9959134, True), (92, 14010646.1577253, 7980311.50517526, True), (94, 14010646.23080342, 7980311.83566357, False), (96, 14010646.28157263, 7980312.27741604, False), (98, 14010646.29495603, 7980312.63649232, False)]",44,"[(False, 13), (True, 7), (False, 3)]",0.08790018,,,Shade-chaser,Shade-chaser
7,"[(6, 14010648.74318743, 7980312.41342042, False), (8, 14010648.82206923, 7980311.72082419, False), (10, 14010648.93870912, 7980311.34201568, False), (12, 14010649.04129647, 7980310.74788952, False), (14, 14010649.16533318, 7980310.04797006, False), (16, 14010649.28277561, 7980309.62477813, False), (18, 14010649.37470489, 7980309.10794065, False), (20, 14010649.44491964, 7980308.49754656, False), (22, 14010649.50588228, 7980308.09680186, False), (24, 14010649.56982464, 7980307.61128758, False), (26, 14010649.57991741, 7980307.07242233, False), (28, 14010649.62415988, 7980306.62933412, False), (30, 14010649.65596807, 7980306.0164607, False), (32, 14010649.65561589, 7980305.44443497, False), (34, 14010649.67907401, 7980305.01960483, False), (36, 14010649.69493548, 7980304.53437476, False), (38, 14010649.71453104, 7980304.05326603, False), (40, 14010649.76091192, 7980303.64007576, False), (42, 14010649.80630343, 7980303.12180327, False), (44, 14010649.82138792, 7980302.61333405, False), (46, 14010649.8202993, 7980302.15963925, False), (48, 14010649.81637574, 7980301.60261436, False), (50, 14010649.79986328, 7980301.15296398, False), (52, 14010649.75981158, 7980300.72807131, False), (54, 14010649.75038172, 7980300.21435784, False), (56, 14010649.71748177, 7980299.65993663, False), (58, 14010649.65937159, 7980299.20728791, False), (60, 14010649.68254697, 7980298.76879739, False), (62, 14010649.68556069, 7980298.24166158, False), (64, 14010649.66228846, 7980297.72027249, False), (66, 14010649.66756635, 7980297.25177641, False), (68, 14010649.6784578, 7980296.70209086, False), (70, 14010649.65660258, 7980296.13829424, False), (72, 14010649.6400242, 7980295.59060665, False), (74, 14010649.6614587, 7980295.08977479, False), (76, 14010649.6544864, 7980294.63025925, False), (78, 14010649.60823281, 7980294.14409653, False), (80, 14010649.58022186, 7980293.58156668, False), (82, 14010649.57454971, 7980293.09170486, False), (84, 14010649.53185015, 7980292.45190869, False), (86, 14010649.49396297, 7980291.75963682, False)]",80,"[(False, 41)]",0.08790018,Heliophile,,,Heliophile
8,"[(90, 14010650.30428436, 7980291.30365131, False), (92, 14010650.26632586, 7980290.72591732, False), (94, 14010649.75451838, 7980290.02281562, False), (96, 14010649.53689131, 7980289.41811784, False), (98, 14010649.45543647, 7980288.78586459, False), (100, 14010649.44373703, 7980288.31012336, False), (102, 14010649.45428923, 7980287.75817752, False), (104, 14010649.43459213, 7980287.24277142, False), (106, 14010649.42113118, 7980286.63970004, False), (108, 14010649.40734855, 7980286.12840889, False), (110, 14010649.34794156, 7980285.58086443, False), (112, 14010649.29556602, 7980284.89762884, False), (114, 14010649.2180956, 7980284.24325195, False), (116, 14010649.12857857, 7980283.60098384, False), (118, 14010649.01929115, 7980283.09686576, False), (120, 14010648.90056805, 7980282.47706144, False), (122, 14010648.79533188, 7980281.98809655, False), (124, 14010648.59900818, 7980281.37596481, False), (126, 14010648.38690063, 7980280.56015649, False), (128, 14010648.14334209, 7980279.95900797, False), (130, 14010647.91921965, 7980278.7665261, False), (132, 14010647.66477629, 7980278.35862789, False), (134, 14010647.39084922, 7980278.14516356, False), (136, 14010647.13765077, 7980277.84059423, False), (138, 14010646.931688, 7980277.132417, False), (140, 14010646.77189522, 7980276.46702571, False), (142, 14010646.61864356, 7980276.02609539, False), (144, 14010646.50900922, 7980275.57959856, False), (146, 14010646.474121, 7980275.22623237, False), (148, 14010646.52491669, 7980274.59042696, False), (150, 14010646.55873587, 7980273.92309624, False), (152, 14010646.55676951, 7980273.65921715, False), (154, 14010646.60396573, 7980273.50557723, False), (156, 14010646.64304749, 7980273.08638497, False), (158, 14010646.66620228, 7980272.72896767, False), (160, 14010646.66043516, 7980272.36510216, False), (162, 14010646.64201404, 7980271.99508353, False), (164, 14010646.65055114, 7980271.44117231, False), (166, 14010646.6622672, 7980270.52027721, False)]",76,"[(False, 39)]",0.08790018,Heliophile,,,Heliophile
9,"[(6, 14010650.9531489, 7980314.8626631, False), (8, 14010650.9734489, 7980314.3591761, False), (10, 14010650.92648162, 7980313.91757207, False), (12, 14010650.95635124, 7980313.42717167, False), (14, 14010650.95756621, 7980313.02995629, False), (16, 14010650.96994293, 7980312.552539, False), (18, 14010650.94032318, 7980312.12664907, False), (20, 14010650.95150076, 7980311.58060314, False), (22, 14010650.93654511, 7980311.18767012, False), (24, 14010650.9719323, 7980310.65892691, False), (26, 14010650.96393936, 7980310.28021495, False), (28, 14010650.9854956, 7980309.82652843, False), (30, 14010650.99932578, 7980309.42396786, False), (32, 14010651.0174196, 7980308.93821785, False), (34, 14010651.00902619, 7980308.47477934, False), (36, 14010650.95385751, 7980307.97912405, False), (38, 14010650.90448698, 7980307.48041782, False), (40, 14010650.89336191, 7980307.04290836, False), (42, 14010650.92252797, 7980306.55766262, False), (44, 14010650.94138124, 7980306.1837687, False), (46, 14010651.00234975, 7980305.72128731, False), (48, 14010651.04996874, 7980305.30582918, False), (50, 14010651.12296857, 7980304.78915747, False), (52, 14010651.11102188, 7980304.46955279, False), (54, 14010651.14394546, 7980304.01580233, False), (56, 14010651.13555481, 7980303.67753611, False), (58, 14010651.14798878, 7980303.20641246, False), (60, 14010651.0942136, 7980302.86078038, False), (62, 14010651.08416479, 7980302.41908227, False), (64, 14010651.06529971, 7980302.00084715, False), (66, 14010651.01943041, 7980301.6285137, False), (68, 14010650.96934915, 7980301.28237145, False), (70, 14010650.88274009, 7980300.89327902, False), (72, 14010650.81399467, 7980300.37501996, False), (74, 14010650.67027188, 7980299.67194077, False), (76, 14010650.58417033, 7980298.99800307, False), (78, 14010650.39716292, 7980298.48231941, False), (80, 14010650.13597079, 7980298.08860516, False), (82, 14010649.86631221, 7980297.68578319, False), (84, 14010649.69639278, 7980297.14084146, False), (86, 14010649.45762553, 7980296.63473481, False), (88, 14010649.1824845, 7980296.15413902, False), (90, 14010648.89351128, 7980295.68611518, False), (92, 14010648.66991852, 7980295.10227416, False), (94, 14010648.3662144, 7980294.75708073, False), (96, 14010648.10436698, 7980294.27737905, False), (98, 14010647.78758894, 7980293.8433094, False), (100, 14010647.44478164, 7980293.43319235, False), (102, 14010647.14291127, 7980292.86256431, False), (104, 14010646.89028571, 7980292.72953825, False), (106, 14010646.59093283, 7980292.3325595, False), (108, 14010646.28634529, 7980291.81262987, False)]",102,"[(False, 52)]",0.08790018,Heliophile,,,Heliophile
10,"[(6, 14010647.98641368, 7980302.2337458, False), (8, 14010647.99237578, 7980302.90877265, False), (10, 14010647.99498942, 7980303.49756847, False), (12, 14010647.99532239, 7980304.22167142, False), (14, 14010647.97490424, 7980304.87633919, False), (16, 14010647.94460436, 7980305.56293234, False), (18, 14010647.86921642, 7980306.27164007, False), (20, 14010647.81035682, 7980306.76821467, False), (22, 14010647.74344232, 7980307.278425, False), (24, 14010647.72289923, 7980307.96327676, False), (26, 14010647.68159088, 7980308.47398458, False), (28, 14010647.61182212, 7980309.07522393, False), (30, 14010647.56104074, 7980309.58220626, False), (32, 14010647.52398947, 7980309.97705682, False), (34, 14010647.40852414, 7980310.62121476, False), (36, 14010647.27207108, 7980311.30558353, False), (38, 14010647.15787686, 7980311.85088572, False), (40, 14010646.99825484, 7980312.58690045, False), (42, 14010646.87677518, 7980313.13183772, False), (44, 14010646.79475103, 7980313.71878124, False), (46, 14010646.69795793, 7980314.49244619, False)]",40,"[(False, 21)]",0.08790018,Heliophile,,,Heliophile
12,"[(12, 14010646.41087003, 7980301.60787289, False), (14, 14010646.42490439, 7980302.3433374, False), (16, 14010646.42101915, 7980302.78656323, False), (18, 14010646.41539289, 7980303.19130772, False), (20, 14010646.41764893, 7980303.2467078, False), (22, 14010646.40414127, 7980303.62782968, False), (24, 14010646.389837, 7980304.1912225, False), (26, 14010646.35346755, 7980304.74465929, False), (28, 14010646.32726864, 7980305.16046016, False), (30, 14010646.2920371, 7980305.67322549, False), (32, 14010646.28716427, 7980305.95625894, False), (34, 14010646.28241938, 7980306.47161982, False), (36, 14010646.27505738, 7980306.91471315, False), (38, 14010646.25006811, 7980307.29182546, False), (40, 14010646.22190414, 7980307.759398, False), (42, 14010646.20072883, 7980308.02276089, False), (44, 14010646.16500512, 7980308.46313981, True), (46, 14010646.14383461, 7980308.85628081, True), (48, 14010646.1331021, 7980309.18778192, True), (50, 14010646.09602329, 7980309.56303992, True), (52, 14010646.02012658, 7980310.00237413, True), (54, 14010645.97044965, 7980310.34516088, True), (56, 14010645.90774485, 7980310.78851522, True), (58, 14010645.87934877, 7980311.22819441, True), (60, 14010645.85448272, 7980311.57709759, True), (62, 14010645.80147448, 7980311.89319279, False), (64, 14010645.74751619, 7980312.34541251, False), (66, 14010645.71770329, 7980312.7537991, False), (68, 14010645.69406288, 7980313.2481306, False), (70, 14010645.7021089, 7980313.70021667, False), (72, 14010645.72952112, 7980314.10077936, False), (74, 14010645.753843, 7980314.63398361, False)]",62,"[(False, 16), (True, 9), (False, 7)]",0.08790018,,,Others,Others
13,"[(52, 14010650.11991964, 7980314.46066166, False), (54, 14010650.31631529, 7980313.81355198, False), (56, 14010650.41770048, 7980313.35808133, False), (58, 14010650.53261267, 7980312.81411601, False), (60, 14010650.6338213, 7980312.23077832, False), (62, 14010650.67401925, 7980311.75548633, False), (64, 14010650.75840914, 7980311.15907192, False), (66, 14010650.83385579, 7980310.63524102, False), (68, 14010650.84861734, 7980310.20278154, False), (70, 14010650.88795757, 7980309.58388913, False), (72, 14010650.91104611, 7980309.08052341, False), (74, 14010650.95684137, 7980308.61861419, False), (76, 14010650.99238934, 7980308.01646568, False), (78, 14010650.98739426, 7980307.56355756, False), (80, 14010650.95284301, 7980307.12500753, False), (82, 14010650.93079672, 7980306.56530891, False), (84, 14010650.88301144, 7980306.06862342, False), (86, 14010650.84957336, 7980305.3327115, False), (88, 14010650.78570767, 7980304.76367465, False), (90, 14010650.77284289, 7980304.299417, False), (92, 14010650.73919339, 7980303.92368285, False), (94, 14010650.69038857, 7980303.45622836, False), (96, 14010650.6363593, 7980302.86358894, False), (98, 14010650.56764444, 7980302.24020217, False), (100, 14010650.57640425, 7980301.76201329, False), (102, 14010650.56365607, 7980301.20909937, False), (104, 14010650.54695748, 7980300.74893095, False), (106, 14010650.58003617, 7980300.25025868, False), (108, 14010650.63713405, 7980299.71346647, False), (110, 14010650.67994899, 7980299.19056114, False), (112, 14010650.75214463, 7980298.71671786, False), (114, 14010650.83876917, 7980298.25563705, False), (116, 14010650.8826158, 7980297.88860039, False), (118, 14010650.93737771, 7980297.16315724, False), (120, 14010650.93066902, 7980296.49995814, False), (122, 14010650.9530106, 7980295.86229645, False), (124, 14010650.93583623, 7980295.23914285, False), (126, 14010650.91095626, 7980294.62482231, False), (128, 14010650.89636864, 7980294.01575225, False), (130, 14010650.88355726, 7980293.49553405, False), (132, 14010650.86009631, 7980292.98756309, False), (134, 14010650.80296594, 7980292.53818174, False), (136, 14010650.7228635, 7980291.97396288, False), (138, 14010650.67727341, 7980291.52827975, False), (140, 14010650.59350144, 7980290.91991437, False), (142, 14010650.49714353, 7980290.35564105, False), (144, 14010650.39569669, 7980289.81111231, False), (146, 14010650.30886764, 7980289.16034605, False), (148, 14010650.22482533, 7980288.57582563, False), (150, 14010650.14013782, 7980288.01939035, False), (152, 14010650.12444914, 7980287.44261894, False), (154, 14010650.08493607, 7980286.74433258, False)]",102,"[(False, 52)]",0.08790018,Heliophile,,,Heliophile
16,"[(38, 14010645.97712356, 7980305.46569831, False), (40, 14010645.9492971, 7980306.16022132, True), (42, 14010645.96715273, 7980306.55672502, True), (44, 14010645.92368005, 7980307.02574219, True), (46, 14010645.86501698, 7980307.51565677, True), (48, 14010645.80192859, 7980308.01213544, True), (50, 14010645.73833415, 7980308.5099322, True), (52, 14010645.65903326, 7980308.8088676, True), (54, 14010645.60439893, 7980309.14180867, True), (56, 14010645.55780258, 7980309.36289119, True), (58, 14010645.5144667, 7980309.53508631, True), (60, 14010645.44562983, 7980309.98315153, True), (62, 14010645.38279215, 7980310.52900547, True), (64, 14010645.3296399, 7980311.24493072, True), (66, 14010645.28457338, 7980311.86910203, True), (68, 14010645.21100287, 7980312.33226003, True), (70, 14010645.17323131, 7980312.65253398, True), (72, 14010645.14674367, 7980313.13178019, True), (74, 14010645.16741737, 7980313.45714514, True), (76, 14010645.26249274, 7980313.89874387, True), (78, 14010645.34580405, 7980314.34329979, True), (80, 14010645.37256192, 7980314.80587495, True)]",42,"[(False, 1), (True, 21)]",0.08790018,,Shade-chaser,,Shade-chaser
