Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Heliophile_lingering,Photophobic_lingering,Sun-chaser_lingering,Shade-chaser_lingering,x_fit_ApparentTemp,fit_Heliophile_lingering,fit_Photophobic_lingering,fit_Sun-chaser_lingering,fit_Shade-chaser_lingering
2022/6/4,23,29.3000,40,2,2.1556,1.8333,0.7333,2.5238,24.0000,1.3307,1.6601,1.2153,1.7712
2022/6/13,24,28.4000,4,4,1.4444,0.9259,1.5238,0.4167,48.0000,1.4793,1.4410,1.3055,0.7426
2022/6/19,27,32.5000,25,5,1.2444,1.1667,2.2353,0.9333,,,,,
2022/6/24,31,35.9000,40,7,0.9804,1.0000,0.6667,1.0556,,,,,
2022/6/25,33,37.6000,2,8,1.9889,4.1667,0.4359,1.1667,,,,,
2022/6/29,34,40.2000,0,4,2.2308,0.3333,0.7143,0.4444,,,,,
2022/6/30,35,40.1000,55,5,0.8182,0.6667,2.0667,1.0833,,,,,
2022/7/2,34,40.3000,3,4,1.7500,4.5185,0.8222,0.9697,,,,,
2022/7/18,29,37.0000,13,2,0.6410,0.5556,0.3889,0.7500,,,,,
2022/7/23,32,39.4000,45,5,1.0667,1.0000,1.0476,0.7879,,,,,
2022/7/24,31,36.9000,25,4,1.2727,2.2500,2.0370,0.9583,,,,,
2022/7/30,33,40.6000,25,3,0.7708,1.9167,2.0000,1.8000,,,,,
2022/8/27,33,39.7000,40,3,1.0667,0.5476,0.7333,1.2500,,,,,
2023/6/4,25,27.7000,1,6,1.0667,0.9167,0.8810,1.6667,,,,,
2023/6/7,27,31.5000,40,3,1.4359,1.0000,0.8246,0.8000,,,,,
2023/6/13,26,36.7000,40,2,0.6667,1.9583,1.2222,0.5278,,,,,
2023/6/28,30,39.4000,40,4,1.5467,1.7500,0.5000,0.3333,,,,,
2023/7/2,31,39.3000,2,3,1.1111,3.0833,1.0000,1.8333,,,,,
2023/7/16,35,43.2000,2,5,0.7273,2.0278,1.3125,0.3889,,,,,
2023/7/23,33,38.5000,1,4,1.6667,1.3519,0.9667,0.5476,,,,,
2023/7/31,35,42.6000,2,5,2.0303,1.0351,1.8333,1.4848,,,,,
2023/8/2,34,41.1000,25,2,0.8421,0.4000,1.4000,0.8667,,,,,
2023/8/4,35,43.9000,40,4,1.4828,1.0784,0.4762,0.5741,,,,,
2023/8/5,36,42.7000,25,5,0.5397,1.7333,0.4667,0.9111,,,,,
2023/8/11,31,35.8000,86,4,2.4111,1.5952,1.8333,0.5000,,,,,
2023/8/18,33,42.4000,7,4,2.1212,1.4314,1.5000,0.5455,,,,,
2023/8/20,33,45.6000,25,2,1.3725,0.4286,2.1538,0.8444,,,,,
2023/8/25,32,38.1000,7,6,1.1746,1.9667,1.4103,2.6970,,,,,
2023/8/30,33,38.4000,11,6,2.2407,0.9630,2.8333,1.6667,,,,,
2023/8/31,32,36.8000,0,6,1.6000,0.5000,1.2963,5.3333,,,,,
2024/6/7,27,28.7000,40,4,1.3690,2.3056,1.0333,1.2857,,,,,
2024/6/8,27,32.5000,25,2,1.0392,0.6667,1.3043,0.5952,,,,,
2024/6/12,28,32.4000,1,4,1.6458,1.4286,3.3333,4.6000,,,,,
2024/6/15,29,33.8000,1,4,1.1935,1.0556,1.1556,1.4667,,,,,
2024/6/16,27,31.2000,55,3,0.8095,2.8750,0.3750,0.8750,,,,,
2024/6/27,26,31.1000,1,3,1.2549,3.2778,1.0000,0.5000,,,,,
2024/7/3,30,35.9000,94,2,1.4000,0.4167,0.8718,0.7143,,,,,
2024/7/4,34,40.8000,25,3,1.3600,2.0000,0.9556,0.9091,,,,,
2024/7/7,33,40.5000,66,3,1.1154,,1.2000,1.0000,,,,,
2024/7/23,34,41.6000,45,3,1.6049,2.2083,2.1667,0.3889,,,,,
2024/7/24,35,42.0000,25,4,0.8500,1.5556,0.5556,0.6667,,,,,
2024/7/29,36,42.3000,84,4,3.4000,1.2807,0.7778,0.9524,,,,,
2024/8/1,33,39.8000,40,2,0.6905,1.5556,3.9167,2.2222,,,,,
2024/8/4,34,40.4000,65,2,1.5000,0.5965,1.5000,1.4167,,,,,
2024/8/5,33,40.7000,60,3,2.2708,4.4444,0.6667,0.8000,,,,,
2024/8/7,32,39.2000,98,2,2.3788,0.7500,0.5000,2.1111,,,,,
2024/8/10,34,39.2000,40,4,0.9192,0.8833,0.8571,0.4762,,,,,
2024/8/11,35,42.0000,1,3,0.7879,1.6061,1.0833,0.3889,,,,,
2024/8/12,35,42.2000,58,2,1.4097,1.0435,1.0889,1.2708,,,,,
2024/8/20,32,38.1000,86,5,2.3810,1.0909,1.7222,0.4286,,,,,
