Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Heliophile_speed,Photophobic_speed,Sun-chaser_speed,Shade-chaser_speed,x_fit_ApparentTemp,fit_Heliophile_speed,fit_Photophobic_speed,fit_Sun-chaser_speed,fit_Shade-chaser_speed
2022/6/4,23,29.3000,40,2,1.8824,2.2517,1.8222,1.6600,24.0000,1.7333,1.6622,1.6912,1.7759
2022/6/13,24,28.4000,4,4,1.8556,1.8005,1.8207,1.9522,48.0000,1.8520,1.8116,1.9017,1.8760
2022/6/19,27,32.5000,25,5,1.7266,1.5713,1.7455,1.9276,,,,,
2022/6/24,31,35.9000,40,7,1.8552,1.4958,2.1133,1.9010,,,,,
2022/6/25,33,37.6000,2,8,1.7322,1.7420,1.7941,1.6902,,,,,
2022/6/29,34,40.2000,0,4,1.9535,1.7485,1.9356,2.1401,,,,,
2022/6/30,35,40.1000,55,5,1.6912,1.8040,1.7510,1.9659,,,,,
2022/7/2,34,40.3000,3,4,1.9424,1.7321,1.9372,1.9256,,,,,
2022/7/18,29,37.0000,13,2,1.8468,1.6606,1.7604,1.7681,,,,,
2022/7/23,32,39.4000,45,5,1.8857,1.7801,1.8604,1.8616,,,,,
2022/7/24,31,36.9000,25,4,1.7106,1.6383,1.6701,1.7548,,,,,
2022/7/30,33,40.6000,25,3,1.8501,1.6853,2.3072,1.7113,,,,,
2022/8/27,33,39.7000,40,3,1.7166,1.7013,1.7661,1.8304,,,,,
2023/6/4,25,27.7000,1,6,1.6689,1.7214,1.6819,1.7119,,,,,
2023/6/7,27,31.5000,40,3,1.7481,1.6546,1.6724,1.8546,,,,,
2023/6/13,26,36.7000,40,2,1.8430,1.6713,1.7956,1.8879,,,,,
2023/6/28,30,39.4000,40,4,1.8250,1.4397,1.7854,1.7921,,,,,
2023/7/2,31,39.3000,2,3,2.1019,1.9037,2.0805,2.1239,,,,,
2023/7/16,35,43.2000,2,5,1.6718,1.5032,1.6666,1.7018,,,,,
2023/7/23,33,38.5000,1,4,1.6896,1.6597,1.6231,1.7016,,,,,
2023/7/31,35,42.6000,2,5,1.8361,1.8141,1.9187,1.7804,,,,,
2023/8/2,34,41.1000,25,2,1.8318,1.8553,1.9198,1.9506,,,,,
2023/8/4,35,43.9000,40,4,1.8367,1.7722,1.9561,1.8956,,,,,
2023/8/5,36,42.7000,25,5,1.7546,1.6657,1.7692,1.7302,,,,,
2023/8/11,31,35.8000,86,4,1.5827,1.5961,1.7254,1.7502,,,,,
2023/8/18,33,42.4000,7,4,2.1293,2.1136,2.1476,2.1841,,,,,
2023/8/20,33,45.6000,25,2,1.7166,1.6866,1.5858,1.6128,,,,,
2023/8/25,32,38.1000,7,6,2.1392,1.9095,1.8512,2.0776,,,,,
2023/8/30,33,38.4000,11,6,2.2020,2.1258,2.1212,2.1526,,,,,
2023/8/31,32,36.8000,0,6,1.7840,1.8352,1.6439,1.9935,,,,,
2024/6/7,27,28.7000,40,4,1.7381,1.6150,1.7397,1.7376,,,,,
2024/6/8,27,32.5000,25,2,1.6232,1.6918,1.5796,1.6690,,,,,
2024/6/12,28,32.4000,1,4,2.0094,1.8353,1.8993,1.9981,,,,,
2024/6/15,29,33.8000,1,4,1.5596,1.4460,1.6090,1.4653,,,,,
2024/6/16,27,31.2000,55,3,1.6066,1.5143,1.6722,1.6090,,,,,
2024/6/27,26,31.1000,1,3,1.8433,1.5380,1.9088,1.9911,,,,,
2024/7/3,30,35.9000,94,2,1.6772,1.6304,1.5090,1.6564,,,,,
2024/7/4,34,40.8000,25,3,1.7725,1.6626,1.6664,1.6749,,,,,
2024/7/7,33,40.5000,66,3,1.6028,2.0586,1.6549,1.7740,,,,,
2024/7/23,34,41.6000,45,3,2.0199,2.1688,2.0702,2.1024,,,,,
2024/7/24,35,42.0000,25,4,1.7355,1.6876,1.7940,1.7468,,,,,
2024/7/29,36,42.3000,84,4,2.1108,2.0763,2.1122,2.1897,,,,,
2024/8/1,33,39.8000,40,2,1.6808,1.7135,1.6284,1.7663,,,,,
2024/8/4,34,40.4000,65,2,1.6304,1.6987,1.7062,1.6658,,,,,
2024/8/5,33,40.7000,60,3,1.6506,1.6715,1.7276,1.6758,,,,,
2024/8/7,32,39.2000,98,2,2.0729,2.2247,2.1200,2.2399,,,,,
2024/8/10,34,39.2000,40,4,1.7189,1.7312,1.7972,1.6355,,,,,
2024/8/11,35,42.0000,1,3,1.6412,1.6586,1.8110,1.7618,,,,,
2024/8/12,35,42.2000,58,2,1.6692,1.5736,1.6559,1.5433,,,,,
2024/8/20,32,38.1000,86,5,1.7326,1.7078,1.7756,1.8058,,,,,
