Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Sun-chaser_sun,Sun-chaser_shade,Shade-chaser_sun,Shade-chaser_shade,x_fit_ApparentTemp,fit_Sun-chaser_sun,fit_Sun-chaser_shade,fit_Shade-chaser_sun,fit_Shade-chaser_shade
2022/6/4,23,29.3000,40,2,1.8461,1.8124,1.6421,1.7388,24.0000,1.6150,1.7510,1.7038,1.8387
2022/6/13,24,28.4000,4,4,1.8653,1.7750,1.9117,2.0226,48.0000,2.1921,1.8531,1.9722,1.8966
2022/6/19,27,32.5000,25,5,1.7939,1.7430,1.8567,1.9723,,,,,
2022/6/24,31,35.9000,40,7,1.8646,2.7402,1.9170,1.8529,,,,,
2022/6/25,33,37.6000,2,8,1.8400,1.7767,1.6486,1.8212,,,,,
2022/6/29,34,40.2000,0,4,2.0097,1.9397,2.1305,2.2793,,,,,
2022/6/30,35,40.1000,55,5,1.7393,1.8267,2.0309,1.9488,,,,,
2022/7/2,34,40.3000,3,4,1.8880,2.0094,1.8235,2.1338,,,,,
2022/7/18,29,37.0000,13,2,1.7954,1.7472,1.8471,1.7483,,,,,
2022/7/23,32,39.4000,45,5,1.9339,1.8146,1.9567,1.7859,,,,,
2022/7/24,31,36.9000,25,4,1.7983,1.6633,1.6078,1.9260,,,,,
2022/7/30,33,40.6000,25,3,2.5070,2.1886,1.8273,1.6403,,,,,
2022/8/27,33,39.7000,40,3,1.8949,1.6569,1.9772,1.7611,,,,,
2023/6/4,25,27.7000,1,6,1.7271,1.6952,1.6963,1.7192,,,,,
2023/6/7,27,31.5000,40,3,1.4428,1.8119,1.9548,1.8770,,,,,
2023/6/13,26,36.7000,40,2,1.8805,1.8513,1.7552,1.9426,,,,,
2023/6/28,30,39.4000,40,4,1.7795,1.8033,1.6869,1.8632,,,,,
2023/7/2,31,39.3000,2,3,2.1486,2.0545,1.9450,2.2242,,,,,
2023/7/16,35,43.2000,2,5,1.7387,1.6440,1.6683,1.7138,,,,,
2023/7/23,33,38.5000,1,4,1.6770,1.6024,1.6516,1.7422,,,,,
2023/7/31,35,42.6000,2,5,2.7322,1.8647,2.3430,1.8453,,,,,
2023/8/2,34,41.1000,25,2,2.2088,1.8637,1.9527,2.0025,,,,,
2023/8/4,35,43.9000,40,4,2.3796,1.8929,1.9047,1.9780,,,,,
2023/8/5,36,42.7000,25,5,1.9238,1.6662,1.6249,1.9353,,,,,
2023/8/11,31,35.8000,86,4,2.1823,1.7158,1.7191,1.8524,,,,,
2023/8/18,33,42.4000,7,4,2.2890,2.0538,2.3005,2.2317,,,,,
2023/8/20,33,45.6000,25,2,1.5999,1.5963,1.6041,1.6038,,,,,
2023/8/25,32,38.1000,7,6,1.5951,2.3078,2.1066,2.0641,,,,,
2023/8/30,33,38.4000,11,6,2.7241,2.0657,2.4690,2.1092,,,,,
2023/8/31,32,36.8000,0,6,1.6295,1.6363,2.1401,1.9986,,,,,
2024/6/7,27,28.7000,40,4,1.7771,1.7064,1.6643,1.8026,,,,,
2024/6/8,27,32.5000,25,2,1.6410,1.5676,1.5848,1.7435,,,,,
2024/6/12,28,32.4000,1,4,2.1864,1.8236,1.9844,2.0293,,,,,
2024/6/15,29,33.8000,1,4,1.6644,1.5848,1.5060,1.4764,,,,,
2024/6/16,27,31.2000,55,3,1.6872,1.6716,1.5694,1.6662,,,,,
2024/6/27,26,31.1000,1,3,1.9967,1.8404,1.9554,2.1455,,,,,
2024/7/3,30,35.9000,94,2,1.3746,1.6901,1.5515,1.7223,,,,,
2024/7/4,34,40.8000,25,3,1.7118,1.6309,1.6613,1.7720,,,,,
2024/7/7,33,40.5000,66,3,1.7478,1.6060,1.6899,1.8259,,,,,
2024/7/23,34,41.6000,45,3,2.2365,2.0550,2.2291,2.2012,,,,,
2024/7/24,35,42.0000,25,4,1.8879,1.8382,1.8745,1.7542,,,,,
2024/7/29,36,42.3000,84,4,2.5725,2.0981,2.1552,2.2254,,,,,
2024/8/1,33,39.8000,40,2,1.7818,1.6070,1.8380,1.7040,,,,,
2024/8/4,34,40.4000,65,2,1.6419,1.7017,1.6859,1.6283,,,,,
2024/8/5,33,40.7000,60,3,2.1368,1.6035,1.6973,1.6754,,,,,
2024/8/7,32,39.2000,98,2,2.2049,2.0442,2.6105,2.1825,,,,,
2024/8/10,34,39.2000,40,4,2.4267,1.7004,1.6840,1.6512,,,,,
2024/8/11,35,42.0000,1,3,2.2429,1.6921,1.7784,1.7653,,,,,
2024/8/12,35,42.2000,58,2,1.7504,1.5851,1.5846,1.5080,,,,,
2024/8/20,32,38.1000,86,5,2.3828,1.6452,1.9675,1.8013,,,,,
