person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion
0,"[(6, 14010646.07153749, 7980310.46174966, False), (8, 14010646.18377181, 7980310.08192493, False), (10, 14010646.1994592, 7980309.42348802, False), (12, 14010646.24784287, 7980308.8221138, False), (14, 14010646.3025086, 7980308.27416283, False), (16, 14010646.3677382, 7980307.82365992, False), (18, 14010646.45632383, 7980307.31735798, False), (20, 14010646.47772504, 7980306.68376063, False), (22, 14010646.4900992, 7980306.16529487, False), (24, 14010646.41658289, 7980305.53938442, False), (26, 14010646.35145082, 7980304.91841859, False), (28, 14010646.29879596, 7980304.37008543, True), (30, 14010646.22386819, 7980303.72427735, True), (32, 14010646.14825099, 7980303.24434041, True), (34, 14010646.09198214, 7980302.71432358, True), (36, 14010646.02759271, 7980302.06547955, True), (38, 14010645.98959122, 7980301.31681467, True)]",32,"[(False, 11), (True, 6)]",0.12600829
3,"[(6, 14010649.4144609, 7980303.72592112, False), (8, 14010649.44671689, 7980302.93279937, False), (10, 14010649.4680928, 7980302.21294792, False), (12, 14010649.52260882, 7980301.43048927, False), (14, 14010649.56567082, 7980300.71257639, False), (16, 14010649.61529979, 7980300.00557649, False), (18, 14010649.64970833, 7980299.25095557, False), (20, 14010649.66530278, 7980298.57951455, False), (22, 14010649.66312954, 7980297.91582898, False), (24, 14010649.61322259, 7980297.09021668, False), (26, 14010649.59718846, 7980296.13894552, False), (28, 14010649.55154738, 7980295.49237196, False), (30, 14010649.4820492, 7980294.6928511, False), (32, 14010649.41219289, 7980293.88981186, False), (34, 14010649.35513432, 7980293.0809934, False), (36, 14010649.31664533, 7980292.15506234, False), (38, 14010649.19987747, 7980291.34731319, False), (40, 14010649.04589928, 7980290.6031005, False), (42, 14010648.94562118, 7980289.72246298, False), (44, 14010648.88855965, 7980289.01956534, False), (46, 14010648.82119947, 7980288.34670142, False), (48, 14010648.79722943, 7980287.47791966, False), (50, 14010648.77962572, 7980286.74404495, False), (52, 14010648.75901364, 7980285.92020459, False), (54, 14010648.75031835, 7980285.20579644, False), (56, 14010648.71544115, 7980284.47842177, False), (58, 14010648.66601792, 7980283.72097291, False), (60, 14010648.56226992, 7980282.84298631, False), (62, 14010648.40548195, 7980282.18037284, False), (64, 14010648.29906102, 7980281.22284087, False), (66, 14010648.1254868, 7980280.27440611, False), (68, 14010647.91551, 7980279.32390548, False), (70, 14010647.73001706, 7980278.62774603, False), (72, 14010647.51527156, 7980277.76455985, False), (74, 14010647.34902333, 7980276.70659945, False)]",68,"[(False, 35)]",0.1260082899999999
5,"[(6, 14010647.88823289, 7980292.70751948, False), (8, 14010647.90908364, 7980293.29056835, False), (10, 14010647.94601265, 7980293.89055776, False), (12, 14010647.97357457, 7980294.57151243, False), (14, 14010648.00934751, 7980294.88913569, False), (16, 14010648.03081152, 7980295.58046602, False), (18, 14010648.05642608, 7980296.097588, False), (20, 14010648.19146271, 7980295.29015117, False), (22, 14010648.3155133, 7980294.74793527, False), (24, 14010648.43055718, 7980294.0568173, False), (26, 14010648.4560485, 7980294.33844181, False), (28, 14010648.4787836, 7980294.76409094, False), (30, 14010648.40732551, 7980295.74649779, False), (32, 14010648.28844268, 7980297.18366007, False), (34, 14010648.18776255, 7980298.49693706, False), (36, 14010648.14569515, 7980299.35041327, False), (38, 14010648.13560108, 7980300.02298395, False), (40, 14010648.04554993, 7980301.56988166, False), (42, 14010648.03860416, 7980302.39901803, False), (44, 14010648.0774018, 7980302.95086186, False), (46, 14010648.04395109, 7980304.07349165, False), (48, 14010648.02767705, 7980304.9611341, False), (50, 14010648.03049613, 7980305.85945719, False), (52, 14010648.06270184, 7980306.70258934, False), (54, 14010648.08248138, 7980307.46184165, False), (56, 14010648.12805626, 7980308.01949053, False), (58, 14010648.17167354, 7980308.65930465, False), (60, 14010648.15251881, 7980309.33055769, False), (62, 14010648.17059758, 7980309.90381195, False), (64, 14010648.21747088, 7980310.47238526, False), (66, 14010648.20041206, 7980311.17994122, False), (68, 14010648.20996168, 7980311.79786944, False), (70, 14010648.23390119, 7980312.34279365, False), (72, 14010648.17403756, 7980313.09760311, False), (74, 14010648.13130805, 7980313.75698144, False), (76, 14010648.11197445, 7980314.3207491, False)]",70,"[(False, 36)]",0.1260082899999999
6,"[(6, 14010646.70222841, 7980298.24983719, False), (8, 14010646.76669129, 7980298.70117151, False), (10, 14010646.87228882, 7980298.5037276, False), (12, 14010647.06782158, 7980298.41348947, False), (14, 14010647.2137135, 7980298.27882235, False), (16, 14010647.31684996, 7980298.72169837, False), (18, 14010647.32293313, 7980300.39162096, False), (20, 14010647.32277959, 7980302.11702874, False), (22, 14010647.29893309, 7980303.39491596, False), (24, 14010647.30539799, 7980304.39989581, False), (26, 14010647.2922854, 7980305.07966549, False), (28, 14010647.2588981, 7980305.56119023, False), (30, 14010647.17537448, 7980306.16225972, False), (32, 14010647.06818569, 7980306.73970955, False), (34, 14010646.99388297, 7980307.28959768, False), (36, 14010646.99390716, 7980307.73097282, False), (38, 14010647.03633766, 7980307.80568349, False), (40, 14010647.04321849, 7980308.25139691, False), (42, 14010647.02008778, 7980309.2475843, False), (44, 14010646.94991184, 7980310.43121428, False), (46, 14010646.90672715, 7980311.26920084, False), (48, 14010646.90265893, 7980312.12546407, False), (50, 14010646.84778894, 7980312.96105342, False), (52, 14010646.85029847, 7980313.60489591, False), (54, 14010646.82317177, 7980314.31114682, False), (56, 14010646.76539017, 7980314.982698, False)]",50,"[(False, 26)]",0.12600829
11,"[(44, 14010646.17539693, 7980313.46612589, False), (46, 14010646.13294609, 7980312.77545729, False), (48, 14010646.07242873, 7980312.27277779, False), (50, 14010646.05205889, 7980311.4875647, False), (52, 14010646.03705359, 7980310.96574451, False), (54, 14010646.12481039, 7980310.39459677, False), (56, 14010646.1781382, 7980309.77309464, False), (58, 14010646.22897189, 7980309.13567448, False), (60, 14010646.24271791, 7980308.34361472, False), (62, 14010646.24381822, 7980307.80905376, False), (64, 14010646.23297274, 7980307.12830482, False), (66, 14010646.23935667, 7980306.48429028, False), (68, 14010646.25864335, 7980305.91156293, False), (70, 14010646.2334574, 7980305.18676336, False), (72, 14010646.19244847, 7980304.60223135, True), (74, 14010646.14925479, 7980303.90636781, True), (76, 14010646.11515295, 7980303.40135376, True), (78, 14010646.06046401, 7980302.76568598, True), (80, 14010646.01048178, 7980302.09583416, True), (82, 14010645.97212093, 7980301.24050468, True)]",38,"[(False, 14), (True, 6)]",0.12600829
12,"[(138, 14010648.35179543, 7980278.52243263, False), (140, 14010648.33678792, 7980279.04604656, False), (142, 14010648.36712719, 7980279.65616382, False), (144, 14010648.4411293, 7980280.34065437, False), (146, 14010648.47242158, 7980281.12161257, False), (148, 14010648.45150421, 7980281.67329974, False), (150, 14010648.46415983, 7980282.23098435, False), (152, 14010648.49577872, 7980282.80119448, False), (154, 14010648.53589926, 7980283.38258707, False), (156, 14010648.57838515, 7980283.97098245, False), (158, 14010648.62054552, 7980284.56267318, False), (160, 14010648.66833759, 7980285.10970117, False), (162, 14010648.73388813, 7980285.80325774, False), (164, 14010648.79070388, 7980286.524284, False), (166, 14010648.89679686, 7980287.18688463, False), (168, 14010649.00872894, 7980287.78094642, False), (170, 14010649.09002224, 7980288.28933194, False), (172, 14010649.1269667, 7980288.84274411, False), (174, 14010649.14425134, 7980289.2872641, False), (176, 14010649.10355097, 7980289.84165139, False), (178, 14010648.97630609, 7980290.45882917, False), (180, 14010648.85798759, 7980291.14492398, False), (182, 14010648.77741308, 7980291.54020178, False), (184, 14010648.72135693, 7980292.01381303, False), (186, 14010648.70163426, 7980292.56585122, False), (188, 14010648.70870015, 7980293.1610555, False), (190, 14010648.71442972, 7980293.93839999, False), (192, 14010648.74620398, 7980294.43562573, False), (194, 14010648.75462586, 7980294.92351441, False), (196, 14010648.70359428, 7980295.3462849, False), (198, 14010648.65140782, 7980295.85845125, False), (200, 14010648.60431536, 7980296.40617712, False), (202, 14010648.57231004, 7980296.88650465, False), (204, 14010648.55933383, 7980297.33790827, False), (206, 14010648.57734601, 7980297.8756638, False), (208, 14010648.59792746, 7980298.50302495, False), (210, 14010648.6544608, 7980299.05524212, False), (212, 14010648.72513314, 7980299.62260396, False), (214, 14010648.76637653, 7980300.08061586, False), (216, 14010648.79365084, 7980300.67447819, False), (218, 14010648.83188725, 7980301.21576998, False), (220, 14010648.85829158, 7980301.81226839, False), (222, 14010648.84233914, 7980302.37499335, False), (224, 14010648.84435179, 7980302.94302772, False), (226, 14010648.83153965, 7980303.4690519, False), (228, 14010648.82289125, 7980304.07097284, False), (230, 14010648.80028852, 7980304.62377742, False), (232, 14010648.78875668, 7980305.15162819, False), (234, 14010648.80088816, 7980305.75690109, False), (236, 14010648.79969311, 7980306.35364301, False), (238, 14010648.81218231, 7980306.86571758, False), (240, 14010648.84686483, 7980307.45000927, False), (242, 14010648.86006332, 7980307.98701943, False), (244, 14010648.92352596, 7980308.50678669, False), (246, 14010649.00160356, 7980309.09311301, False), (248, 14010649.06623356, 7980309.58578075, False), (250, 14010649.12072485, 7980310.13320036, False), (252, 14010649.13744649, 7980310.6878737, False), (254, 14010649.1016103, 7980311.21783721, False), (256, 14010649.0471416, 7980311.73877367, False), (258, 14010648.96490016, 7980312.32461133, False), (260, 14010648.88722829, 7980312.81547687, False), (262, 14010648.80456557, 7980313.32876582, False), (264, 14010648.66709383, 7980313.89667388, False), (266, 14010648.5206721, 7980314.2825426, False), (268, 14010648.39701839, 7980314.72601712, False)]",130,"[(False, 66)]",0.1362657945454546
15,"[(806, 14010647.0317373, 7980314.3466854, False), (808, 14010647.03173733, 7980313.62250601, False), (810, 14010647.0387027, 7980312.76559053, False), (812, 14010647.02600871, 7980312.11396116, False), (814, 14010647.01269425, 7980311.46963747, False), (816, 14010647.02157087, 7980310.68075236, False), (818, 14010647.04656034, 7980310.07046727, False), (820, 14010647.11450264, 7980309.39612785, False), (822, 14010647.22841399, 7980308.74963327, False), (824, 14010647.35190298, 7980308.16779382, False), (826, 14010647.44607716, 7980307.35651493, False), (828, 14010647.52030228, 7980306.66253268, False), (830, 14010647.54119658, 7980306.08230355, False), (832, 14010647.56257857, 7980305.31022719, False), (834, 14010647.58168685, 7980304.73415247, False), (836, 14010647.57362533, 7980304.1691723, False), (838, 14010647.52368791, 7980303.49924152, False), (840, 14010647.49904462, 7980302.89237438, False), (842, 14010647.46583161, 7980302.32713001, False), (844, 14010647.42030514, 7980301.64359869, False), (846, 14010647.36213765, 7980300.92323417, False), (848, 14010647.27533509, 7980300.26250442, False), (850, 14010647.17419796, 7980299.61613818, False), (852, 14010647.06640548, 7980298.95454999, False), (854, 14010646.9382411, 7980298.310921, False), (856, 14010646.83805504, 7980297.6337547, False), (858, 14010646.75662958, 7980296.99900661, False), (860, 14010646.68076152, 7980296.36872346, False), (862, 14010646.61012387, 7980295.80778723, False), (864, 14010646.4773334, 7980295.1864239, False), (866, 14010646.34553192, 7980294.38906905, False), (868, 14010646.24978685, 7980292.55830813, False), (870, 14010646.1724937, 7980290.2707396, False), (872, 14010646.10187397, 7980287.86071549, False), (874, 14010646.02114127, 7980286.19172865, False), (876, 14010645.90737175, 7980284.54851951, False)]",70,"[(False, 36)]",0.14544402
18,"[(168, 14010649.70231509, 7980287.89453935, False), (170, 14010649.73296974, 7980288.52584737, False), (172, 14010649.71433681, 7980288.80692081, False), (174, 14010649.6904821, 7980289.05329423, False), (176, 14010649.63050404, 7980289.97671622, False), (178, 14010649.60320444, 7980290.79950295, False), (180, 14010649.6178706, 7980291.46432104, False), (182, 14010649.6869586, 7980292.09051327, False), (184, 14010649.7670216, 7980292.45535532, False), (186, 14010649.81946858, 7980292.77353017, False), (188, 14010649.80051806, 7980293.4288394, False), (190, 14010649.76547493, 7980294.04697539, False), (192, 14010649.71487877, 7980294.79102693, False), (194, 14010649.6415415, 7980295.44035693, False), (196, 14010649.58477782, 7980296.0508232, False), (198, 14010649.56251865, 7980296.57453072, False), (200, 14010649.53420571, 7980297.10531417, False), (202, 14010649.51295132, 7980297.56871936, False), (204, 14010649.50409408, 7980298.08720829, False), (206, 14010649.55270498, 7980298.5404296, False), (208, 14010649.62369828, 7980299.02806334, False), (210, 14010649.67752098, 7980299.56941266, False), (212, 14010649.70881892, 7980300.1086413, False), (214, 14010649.71794335, 7980300.68299945, False), (216, 14010649.71937184, 7980301.19311688, False), (218, 14010649.71043223, 7980301.64873257, False), (220, 14010649.6807745, 7980302.0519375, False), (222, 14010649.66740934, 7980302.6283269, False), (224, 14010649.70131765, 7980303.14609887, False), (226, 14010649.75422756, 7980303.66820632, False), (228, 14010649.74754816, 7980304.36051528, False), (230, 14010649.78798722, 7980304.99002746, False), (232, 14010649.80404797, 7980305.51139057, False), (234, 14010649.83494777, 7980306.08564666, False), (236, 14010649.89675506, 7980306.61138902, False), (238, 14010649.9467143, 7980307.11701413, False), (240, 14010650.02264088, 7980307.63609726, False), (242, 14010650.08816368, 7980308.09231384, False), (244, 14010650.08918848, 7980308.66593584, False), (246, 14010650.05894869, 7980309.33376857, False), (248, 14010650.07670288, 7980309.78079781, False), (250, 14010650.05312702, 7980310.28913816, False), (252, 14010649.99705752, 7980310.9924674, False), (254, 14010649.9832267, 7980311.53176691, False), (256, 14010649.99291964, 7980312.06607412, False), (258, 14010649.95570059, 7980312.80193865, False), (260, 14010649.98719095, 7980313.30209446, False), (262, 14010650.00645086, 7980313.79485559, False), (264, 14010650.00808642, 7980314.40996118, False), (266, 14010650.04142714, 7980314.85913372, False)]",98,"[(False, 50)]",0.1392473092
21,"[(334, 14010647.00290581, 7980295.29321873, False), (336, 14010647.3698465, 7980295.41845348, False), (338, 14010647.75386649, 7980295.44801006, False), (340, 14010648.07438869, 7980295.37631717, False), (342, 14010648.41706725, 7980295.33287699, False), (344, 14010648.6993084, 7980295.20454936, False), (346, 14010648.99386587, 7980295.27158842, False), (348, 14010649.33083193, 7980295.29714092, False), (350, 14010649.62998456, 7980295.4867422, False), (352, 14010649.87592642, 7980295.6104833, False), (354, 14010650.11252936, 7980295.61604188, False), (356, 14010650.26024218, 7980295.53042969, False), (358, 14010650.36805397, 7980295.50201519, False), (360, 14010650.40823951, 7980295.52262937, False), (362, 14010650.41713115, 7980295.46007501, False), (364, 14010650.39220474, 7980295.50673915, False), (366, 14010650.37276073, 7980295.53278267, False), (368, 14010650.34770465, 7980295.61813453, False), (370, 14010650.33669627, 7980295.65447061, False), (372, 14010650.38047602, 7980295.63570703, False), (374, 14010650.47082354, 7980295.62426284, False), (376, 14010650.58205172, 7980295.53023344, False), (378, 14010650.70196167, 7980295.30748576, False), (380, 14010650.77453159, 7980295.05910465, False), (382, 14010650.84327408, 7980294.63545452, False), (384, 14010650.90273835, 7980294.11380227, False), (386, 14010650.95549824, 7980293.6561116, False), (388, 14010650.96172602, 7980293.1661763, False), (390, 14010650.99328054, 7980292.49455004, False), (392, 14010651.00720648, 7980291.90906227, False), (394, 14010651.03731664, 7980291.40822088, False), (396, 14010651.03487089, 7980290.99642465, False), (398, 14010651.02252938, 7980290.49385295, False), (400, 14010650.98947322, 7980290.0309706, False), (402, 14010650.95393012, 7980289.45464353, False), (404, 14010650.94478029, 7980288.85484845, False), (406, 14010650.98819897, 7980288.30810492, False), (408, 14010650.93834128, 7980287.8710207, False), (410, 14010650.90463357, 7980287.29141545, False), (412, 14010650.87690575, 7980286.76813822, False), (414, 14010650.8390243, 7980286.2442694, False), (416, 14010650.80979397, 7980285.73546048, False), (418, 14010650.78496286, 7980285.22475156, False), (420, 14010650.69009712, 7980284.56925172, False), (422, 14010650.63828447, 7980283.80383332, False), (424, 14010650.58530318, 7980283.29233897, False), (426, 14010650.5707066, 7980282.61788528, False)]",92,"[(False, 47)]",0.1410526299999999
22,"[(350, 14010650.21525836, 7980314.99219838, False), (352, 14010650.17922198, 7980314.2686085, False), (354, 14010650.19377474, 7980313.37140921, False), (356, 14010650.20111033, 7980312.68462423, False), (358, 14010650.17200804, 7980312.00299249, False), (360, 14010650.16460354, 7980311.17179207, False), (362, 14010650.17943086, 7980310.4978164, False), (364, 14010650.1501331, 7980309.79639724, False), (366, 14010650.14631758, 7980308.97908095, False), (368, 14010650.17969714, 7980308.32700489, False), (370, 14010650.14595048, 7980307.69013537, False), (372, 14010650.12684111, 7980306.86966585, False), (374, 14010650.14468396, 7980306.19779514, False), (376, 14010650.10622797, 7980305.45719543, False), (378, 14010650.07802475, 7980304.63692347, False), (380, 14010650.09256221, 7980303.93863094, False), (382, 14010650.0929598, 7980303.29482688, False), (384, 14010650.0960931, 7980302.54474223, False), (386, 14010650.09417501, 7980301.88139734, False), (388, 14010650.06917539, 7980301.28189844, False), (390, 14010650.09488558, 7980300.56384052, False), (392, 14010650.1716611, 7980299.92620268, False), (394, 14010650.20827668, 7980299.37970177, False), (396, 14010650.23631744, 7980298.72384799, False), (398, 14010650.31950502, 7980298.14289823, False), (400, 14010650.40479846, 7980297.71695037, False), (402, 14010650.49191381, 7980297.00890827, False), (404, 14010650.58049122, 7980296.40004901, False), (406, 14010650.64243686, 7980295.70233769, False), (408, 14010650.69312597, 7980294.93992757, False), (410, 14010650.72644566, 7980294.21054207, False), (412, 14010650.72713569, 7980293.55136242, False), (414, 14010650.71493848, 7980292.91001948, False), (416, 14010650.66466934, 7980292.19922499, False), (418, 14010650.61024448, 7980291.45088252, False), (420, 14010650.54031441, 7980290.76580985, False), (422, 14010650.46816806, 7980289.97581999, False), (424, 14010650.38758023, 7980289.36556942, False), (426, 14010650.29358713, 7980288.68169244, False), (428, 14010650.1889763, 7980288.07055368, False), (430, 14010650.12643448, 7980287.2721718, False), (432, 14010650.06635572, 7980286.47784127, False), (434, 14010649.97202051, 7980285.7782532, False), (436, 14010649.90440362, 7980285.03666202, False), (438, 14010649.86697178, 7980284.11660392, False), (440, 14010649.79330482, 7980283.16940636, False), (442, 14010649.71109757, 7980282.40325553, False), (444, 14010649.6263973, 7980281.53443871, False), (446, 14010649.61241936, 7980280.71517045, False), (448, 14010649.63152412, 7980279.92168471, False), (450, 14010649.68630476, 7980279.15966931, False), (452, 14010649.71995892, 7980278.32360468, False), (454, 14010649.73442088, 7980277.85331898, False), (456, 14010649.76104639, 7980277.15616883, False), (458, 14010649.77751751, 7980276.27125246, False), (460, 14010649.78657309, 7980275.512776, False), (462, 14010649.77495492, 7980274.77783509, False), (464, 14010649.75693684, 7980273.79242775, False), (466, 14010649.77500265, 7980272.74278956, False), (468, 14010649.77390404, 7980271.56713842, False)]",118,"[(False, 60)]",0.14105263
