Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Unique_Persons_Daily,Year,Month
2022/6/4,23,29.3,40,2,204,2022,6
2022/6/13,24,28.4,4,4,174,2022,6
2022/6/19,27,32.5,25,5,296,2022,6
2022/6/24,31,35.9,40,7,169,2022,6
2022/6/25,33,37.6,2,8,308,2022,6
2022/6/29,34,40.2,0,4,176,2022,6
2022/6/30,35,40.1,55,5,132,2022,6
2022/7/2,34,40.3,3,4,316,2022,7
2022/7/18,29,37,13,2,251,2022,7
2022/7/23,32,39.4,45,5,163,2022,7
2022/7/24,31,36.9,25,4,240,2022,7
2022/7/30,33,40.6,25,3,261,2022,7
2022/8/27,33,39.7,40,3,315,2022,8
2023/6/4,25,27.7,1,6,474,2023,6
2023/6/7,27,31.5,40,3,324,2023,6
2023/6/13,26,36.7,40,2,221,2023,6
2023/6/28,30,39.4,40,4,234,2023,6
2023/7/2,31,39.3,2,3,546,2023,7
2023/7/16,35,43.2,2,5,420,2023,7
2023/7/23,33,38.5,1,4,677,2023,7
2023/7/31,35,42.6,2,5,217,2023,7
2023/8/2,34,41.1,25,2,324,2023,8
2023/8/4,35,43.9,40,4,356,2023,8
2023/8/5,36,42.7,25,5,358,2023,8
2023/8/11,31,35.8,86,4,370,2023,8
2023/8/18,33,42.4,7,4,352,2023,8
2023/8/20,33,45.6,25,2,410,2023,8
2023/8/25,32,38.1,7,6,343,2023,8
2023/8/30,33,38.4,11,6,339,2023,8
2023/8/31,32,36.8,0,6,316,2023,8
2024/6/7,27,28.7,40,4,323,2024,6
2024/6/8,27,32.5,25,2,366,2024,6
2024/6/12,28,32.4,1,4,247,2024,6
2024/6/15,29,33.8,1,4,315,2024,6
2024/6/16,27,31.2,55,3,434,2024,6
2024/6/27,26,31.1,1,3,207,2024,6
2024/7/3,30,35.9,94,2,222,2024,7
2024/7/4,34,40.8,25,3,201,2024,7
2024/7/7,33,40.5,66,3,511,2024,7
2024/7/23,34,41.6,45,3,360,2024,7
2024/7/24,35,42,25,4,253,2024,7
2024/7/29,36,42.3,84,4,493,2024,7
2024/8/1,33,39.8,40,2,325,2024,8
2024/8/4,34,40.4,65,2,692,2024,8
2024/8/5,33,40.7,60,3,382,2024,8
2024/8/7,32,39.2,98,2,416,2024,8
2024/8/10,34,39.2,40,4,510,2024,8
2024/8/11,35,42,1,3,381,2024,8
2024/8/12,35,42.2,58,2,616,2024,8
2024/8/20,32,38.1,86,5,234,2024,8
